order_id,customer_id,customer_email,country,order_date,sku,product_name,category,quantity,unit_price_eur,total_eur,status,carrier,tracking_number
NV-10001,C1038,martin.marek38@example.com,CZ,2026-05-20,NV-LAP-003,Budgetbook 15,laptops,1,549.0,549.0,shipped,PPL,TRK490423179
NV-10002,C1039,nina.novak39@example.com,SK,2026-07-18,NV-LAP-001,Aurora 14 Ultrabook,laptops,2,1199.0,2398.0,delivered,DHL,TRK781192097
NV-10003,C1016,petra.marek16@example.com,CZ,2026-06-30,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,PPL,TRK624059081
NV-10004,C1029,marek.kucera29@example.com,HU,2026-05-19,NV-HOM-002,AirPure 400,home,1,199.0,199.0,delivered,GLS,TRK894946073
NV-10005,C1016,petra.marek16@example.com,CZ,2026-07-06,NV-HOM-002,AirPure 400,home,1,199.0,199.0,delivered,DHL,TRK667212062
NV-10006,C1023,marek.pospisil23@example.com,AT,2026-05-04,NV-PHN-002,Pulse Lite,phones,1,329.0,329.0,cancelled,,
NV-10007,C1033,petra.novak33@example.com,HU,2026-05-12,NV-AUD-002,Halo Buds Mini,audio,1,99.0,99.0,returned,,
NV-10008,C1054,jan.horak54@example.com,HU,2026-05-22,NV-AUD-002,Halo Buds Mini,audio,1,99.0,99.0,delivered,DHL,TRK671866729
NV-10009,C1034,jakub.pokorny34@example.com,PL,2026-05-29,NV-WEA-002,TrailBand Fitness Tracker,wearables,1,59.0,59.0,processing,,
NV-10010,C1051,anna.dvorak51@example.com,AT,2026-05-25,NV-WEA-002,TrailBand Fitness Tracker,wearables,1,59.0,59.0,delivered,Zasilkovna,TRK894432601
NV-10011,C1051,anna.dvorak51@example.com,AT,2026-06-15,NV-AUD-001,Halo ANC Headphones,audio,1,279.0,279.0,cancelled,,
NV-10012,C1001,jan.svoboda1@example.com,PL,2026-06-30,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,DHL,TRK843589769
NV-10013,C1038,martin.marek38@example.com,CZ,2026-08-28,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,cancelled,,
NV-10014,C1022,jakub.nemec22@example.com,AT,2026-05-29,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,DHL,TRK604744541
NV-10015,C1012,jakub.vesely12@example.com,SK,2026-08-24,NV-AUD-002,Halo Buds Mini,audio,1,99.0,99.0,processing,,
NV-10016,C1053,marek.dvorak53@example.com,HU,2026-06-14,NV-LAP-001,Aurora 14 Ultrabook,laptops,2,1199.0,2398.0,returned,,
NV-10017,C1005,lena.svoboda5@example.com,SK,2026-06-19,NV-WEA-002,TrailBand Fitness Tracker,wearables,1,59.0,59.0,returned,,
NV-10018,C1048,martin.dvorak48@example.com,SK,2026-06-25,NV-PHN-003,Orbit Fold 2,phones,2,1699.0,3398.0,returned,,
NV-10019,C1021,david.svoboda21@example.com,PL,2026-08-01,NV-PHN-001,Pulse X Pro 5G,phones,2,949.0,1898.0,delivered,Zasilkovna,TRK530985811
NV-10020,C1047,david.dvorak47@example.com,CZ,2026-05-22,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,PPL,TRK262296831
NV-10021,C1037,anna.horak37@example.com,DE,2026-05-19,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,processing,,
NV-10022,C1052,zuzana.marek52@example.com,PL,2026-08-28,NV-GAM-001,NovaPad Pro Controller,gaming,1,79.0,79.0,delivered,DHL,TRK689119239
NV-10023,C1035,filip.prochazka35@example.com,HU,2026-08-01,NV-PHN-002,Pulse Lite,phones,1,329.0,329.0,returned,,
NV-10024,C1006,petra.nemec6@example.com,AT,2026-06-25,NV-GAM-001,NovaPad Pro Controller,gaming,2,79.0,158.0,delivered,DHL,TRK130058036
NV-10025,C1016,petra.marek16@example.com,CZ,2026-08-06,NV-AUD-001,Halo ANC Headphones,audio,1,279.0,279.0,processing,,
NV-10026,C1020,david.dvorak20@example.com,HU,2026-05-17,NV-AUD-002,Halo Buds Mini,audio,1,99.0,99.0,delivered,GLS,TRK591946611
NV-10027,C1042,nina.svoboda42@example.com,SK,2026-06-23,NV-GAM-001,NovaPad Pro Controller,gaming,2,79.0,158.0,shipped,DHL,TRK671042709
NV-10028,C1009,jan.marek9@example.com,PL,2026-06-26,NV-GAM-001,NovaPad Pro Controller,gaming,1,79.0,79.0,cancelled,,
NV-10029,C1011,jan.nemec11@example.com,SK,2026-05-20,NV-GAM-002,Vortex 27 Gaming Monitor,gaming,1,379.0,379.0,delivered,DHL,TRK608409165
NV-10030,C1039,nina.novak39@example.com,SK,2026-06-11,NV-WEA-001,Pulse Watch 3,wearables,1,249.0,249.0,returned,,
NV-10031,C1033,petra.novak33@example.com,HU,2026-08-08,NV-GAM-001,NovaPad Pro Controller,gaming,1,79.0,79.0,delivered,PPL,TRK366818750
NV-10032,C1012,jakub.vesely12@example.com,SK,2026-07-04,NV-AUD-002,Halo Buds Mini,audio,1,99.0,99.0,shipped,PPL,TRK916036417
NV-10033,C1057,karel.novak57@example.com,SK,2026-07-18,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,shipped,DHL,TRK843814251
NV-10034,C1017,eva.horak17@example.com,HU,2026-07-01,NV-HOM-001,BrewMaster Espresso,home,1,389.0,389.0,shipped,DHL,TRK850779486
NV-10035,C1033,petra.novak33@example.com,HU,2026-06-03,NV-ACC-001,Nova 65W GaN Charger,accessories,2,39.0,78.0,processing,,
NV-10036,C1057,karel.novak57@example.com,SK,2026-05-18,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,PPL,TRK521298041
NV-10037,C1028,petra.nemec28@example.com,PL,2026-06-24,NV-AUD-002,Halo Buds Mini,audio,1,99.0,99.0,delivered,DHL,TRK818840243
NV-10038,C1019,filip.kucera19@example.com,DE,2026-05-20,NV-WEA-002,TrailBand Fitness Tracker,wearables,2,59.0,118.0,returned,,
NV-10039,C1041,david.vesely41@example.com,AT,2026-08-22,NV-GAM-003,Vortex Mechanical Keyboard,gaming,1,129.0,129.0,delivered,Zasilkovna,TRK335780633
NV-10040,C1047,david.dvorak47@example.com,CZ,2026-07-02,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,DHL,TRK273372860
NV-10041,C1045,hana.pospisil45@example.com,AT,2026-06-13,NV-HOM-001,BrewMaster Espresso,home,1,389.0,389.0,delivered,DHL,TRK482912221
NV-10042,C1020,david.dvorak20@example.com,HU,2026-06-13,NV-PHN-001,Pulse X Pro 5G,phones,1,949.0,949.0,processing,,
NV-10043,C1029,marek.kucera29@example.com,HU,2026-06-12,NV-HOM-001,BrewMaster Espresso,home,1,389.0,389.0,shipped,GLS,TRK650037437
NV-10044,C1004,jan.svoboda4@example.com,AT,2026-05-30,NV-PHN-001,Pulse X Pro 5G,phones,2,949.0,1898.0,delivered,PPL,TRK385147465
NV-10045,C1017,eva.horak17@example.com,HU,2026-06-04,NV-LAP-003,Budgetbook 15,laptops,1,549.0,549.0,cancelled,,
NV-10046,C1008,david.pokorny8@example.com,HU,2026-07-26,NV-WEA-002,TrailBand Fitness Tracker,wearables,1,59.0,59.0,delivered,Zasilkovna,TRK260382615
NV-10047,C1034,jakub.pokorny34@example.com,PL,2026-07-29,NV-ACC-001,Nova 65W GaN Charger,accessories,1,39.0,39.0,delivered,PPL,TRK399640865
NV-10048,C1003,jan.nemec3@example.com,SK,2026-08-23,NV-WEA-002,TrailBand Fitness Tracker,wearables,1,59.0,59.0,delivered,GLS,TRK118072925
NV-10049,C1040,jakub.dvorak40@example.com,HU,2026-07-17,NV-PHN-001,Pulse X Pro 5G,phones,1,949.0,949.0,delivered,PPL,TRK383952089
NV-10050,C1055,karel.vesely55@example.com,AT,2026-07-10,NV-PHN-001,Pulse X Pro 5G,phones,1,949.0,949.0,delivered,GLS,TRK767549003
NV-10051,C1008,david.pokorny8@example.com,HU,2026-08-29,NV-LAP-003,Budgetbook 15,laptops,1,549.0,549.0,delivered,DHL,TRK381207931
